PDB, CONSENSUS, DSSP, STRIDE, KAKSI, PROSS
2ousA, 0.895910780669145, 0.8588957055214724, 0.8588957055214724, 0.8066465256797583, 0.8404907975460123
2aexA, 0.914396887159533, 0.8482142857142857, 0.8511904761904762, 0.8034682080924855, 0.8630952380952381
2j5gA, 0.9562841530054644, 0.9112903225806451, 0.8911290322580645, 0.8403041825095057, 0.8232931726907631
2g84A, 0.9090909090909091, 0.8783068783068783, 0.873015873015873, 0.8274111675126904, 0.8518518518518519
3eupB, 0.9878787878787879, 0.94, 0.945, 0.8970588235294118, 0.905
2zuxB, 0.9287410926365796, 0.8419243986254296, 0.8367697594501718, 0.8375634517766497, 0.8058419243986255
2cw5B, 0.93125, 0.8783783783783784, 0.8783783783783784, 0.8274509803921568, 0.7972972972972973
3d32A, 0.9591836734693877, 0.9152542372881356, 0.9152542372881356, 0.865546218487395, 0.8983050847457628
1khiA, 0.8571428571428571, 0.8163265306122449, 0.7755102040816326, 0.7954545454545454, 0.7346938775510204
3imhA, 0.85, 0.7740963855421686, 0.7650602409638554, 0.7603550295857988, 0.7740963855421686
3kmtC, 0.7974683544303798, 0.7815126050420168, 0.7394957983193278, 0.6554621848739496, 0.6974789915966386
1cpqA, 0.9824561403508771, 0.9457364341085271, 0.9534883720930233, 0.9457364341085271, 0.937984496124031
1l5oA, 0.9227941176470589, 0.8728323699421965, 0.869942196531792, 0.8146067415730337, 0.8410404624277457
3bv6D, 0.9433962264150944, 0.8305084745762712, 0.864406779661017, 0.8153034300791556, 0.844632768361582
3luiB, 0.9647058823529412, 0.8679245283018868, 0.8867924528301887, 0.8956521739130435, 0.8584905660377359
1qwiC, 0.9803921568627451, 0.8785714285714286, 0.85, 0.8391608391608392, 0.8857142857142857
1v8yA, 0.93, 0.8866666666666667, 0.9, 0.8117647058823529, 0.74
3odtA, 0.9247787610619469, 0.8771331058020477, 0.8668941979522184, 0.8019169329073482, 0.8122866894197952
3mnmB, 0.974025974025974, 0.944954128440367, 0.8899082568807339, 0.8211382113821138, 0.8165137614678899
